run_label,seed,shuffled_label_control,dataset,true_fraction,predicted_fraction
encoder_seed_2028,2032,False,physionet_hyser,0.1703968144995194,0.172593711382672
encoder_seed_2028,2033,False,emg2pose,0.1716359865180191,0.1989888514389421
encoder_seed_2028,2033,False,emg2qwerty,0.1457091003370495,0.1157635467980295
encoder_seed_2028,2033,False,harmonic,0.18796992481203,0.1880995592429349
encoder_seed_2028,2033,False,ninapro_db10_meganepro,0.1624319419237749,0.1624319419237749
encoder_seed_2028,2033,False,physionet_grabmyo,0.1664506092818252,0.1664506092818252
encoder_seed_2028,2033,False,physionet_hyser,0.165802437127301,0.1682654913144931
encoder_seed_2028,2034,False,emg2pose,0.1910158949550794,0.1834139599170698
encoder_seed_2028,2034,False,emg2qwerty,0.1143054595715273,0.1212163096060815
encoder_seed_2028,2034,False,harmonic,0.1752591568762957,0.1755355908776779
encoder_seed_2028,2034,False,ninapro_db10_meganepro,0.1729094678645473,0.1729094678645473
encoder_seed_2028,2034,False,physionet_grabmyo,0.1749827228749136,0.1748445058742225
encoder_seed_2028,2034,False,physionet_hyser,0.1715272978576364,0.1720801658604008
encoder_seed_2028,2035,False,emg2pose,0.1814564265817747,0.1671309192200557
encoder_seed_2028,2035,False,emg2qwerty,0.1156652075872131,0.1294601406022018
encoder_seed_2028,2035,False,harmonic,0.1944554980766679,0.1948534288367157
encoder_seed_2028,2035,False,ninapro_db10_meganepro,0.1650086218331343,0.1648759782464517
encoder_seed_2028,2035,False,physionet_grabmyo,0.1721713755139939,0.1723040191006764
encoder_seed_2028,2035,False,physionet_hyser,0.1712428704072158,0.1713755139938984
encoder_seed_2028,2026,True,emg2pose,0.1912832929782082,0.1541091012676257
encoder_seed_2028,2026,True,emg2qwerty,0.134453781512605,0.1697763851303233
encoder_seed_2028,2026,True,harmonic,0.1380145278450363,0.1546788206808147
encoder_seed_2028,2026,True,ninapro_db10_meganepro,0.1787494658880501,0.2096567440535536
encoder_seed_2028,2026,True,physionet_grabmyo,0.1787494658880501,0.1700612448369178
encoder_seed_2028,2026,True,physionet_hyser,0.1787494658880501,0.1417177040307648
encoder_seed_2028,2027,True,emg2pose,0.1808014911463187,0.1507122886433231
encoder_seed_2028,2027,True,emg2qwerty,0.1200905338836373,0.1477832512315271
encoder_seed_2028,2027,True,harmonic,0.1978431633604047,0.2790573825056583
encoder_seed_2028,2027,True,ninapro_db10_meganepro,0.1666888563440287,0.1295433364398881
