run_label,seed,shuffled_label_control,true_dataset,pred_dataset,count,row_fraction
encoder_seed_2026,2032,False,harmonic,emg2qwerty,0,0.0
encoder_seed_2026,2032,False,harmonic,harmonic,1131,1.0
encoder_seed_2026,2032,False,harmonic,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2032,False,harmonic,physionet_grabmyo,0,0.0
encoder_seed_2026,2032,False,harmonic,physionet_hyser,0,0.0
encoder_seed_2026,2032,False,ninapro_db10_meganepro,emg2pose,0,0.0
encoder_seed_2026,2032,False,ninapro_db10_meganepro,emg2qwerty,0,0.0
encoder_seed_2026,2032,False,ninapro_db10_meganepro,harmonic,0,0.0
encoder_seed_2026,2032,False,ninapro_db10_meganepro,ninapro_db10_meganepro,1242,1.0
encoder_seed_2026,2032,False,ninapro_db10_meganepro,physionet_grabmyo,0,0.0
encoder_seed_2026,2032,False,ninapro_db10_meganepro,physionet_hyser,0,0.0
encoder_seed_2026,2032,False,physionet_grabmyo,emg2pose,0,0.0
encoder_seed_2026,2032,False,physionet_grabmyo,emg2qwerty,0,0.0
encoder_seed_2026,2032,False,physionet_grabmyo,harmonic,0,0.0
encoder_seed_2026,2032,False,physionet_grabmyo,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2032,False,physionet_grabmyo,physionet_grabmyo,1230,1.0
encoder_seed_2026,2032,False,physionet_grabmyo,physionet_hyser,0,0.0
encoder_seed_2026,2032,False,physionet_hyser,emg2pose,0,0.0
encoder_seed_2026,2032,False,physionet_hyser,emg2qwerty,0,0.0
encoder_seed_2026,2032,False,physionet_hyser,harmonic,0,0.0
encoder_seed_2026,2032,False,physionet_hyser,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2032,False,physionet_hyser,physionet_grabmyo,0,0.0
encoder_seed_2026,2032,False,physionet_hyser,physionet_hyser,1241,1.0
encoder_seed_2026,2033,False,emg2pose,emg2pose,1019,0.7696374622356495
encoder_seed_2026,2033,False,emg2pose,emg2qwerty,301,0.2273413897280966
encoder_seed_2026,2033,False,emg2pose,harmonic,0,0.0
encoder_seed_2026,2033,False,emg2pose,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2033,False,emg2pose,physionet_grabmyo,0,0.0
encoder_seed_2026,2033,False,emg2pose,physionet_hyser,4,0.0030211480362537
encoder_seed_2026,2033,False,emg2qwerty,emg2pose,517,0.4599644128113879
encoder_seed_2026,2033,False,emg2qwerty,emg2qwerty,593,0.5275800711743772
encoder_seed_2026,2033,False,emg2qwerty,harmonic,1,0.0008896797153024
encoder_seed_2026,2033,False,emg2qwerty,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2033,False,emg2qwerty,physionet_grabmyo,0,0.0
encoder_seed_2026,2033,False,emg2qwerty,physionet_hyser,13,0.0115658362989323
encoder_seed_2026,2033,False,harmonic,emg2pose,0,0.0
encoder_seed_2026,2033,False,harmonic,emg2qwerty,0,0.0
encoder_seed_2026,2033,False,harmonic,harmonic,1450,1.0
encoder_seed_2026,2033,False,harmonic,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2033,False,harmonic,physionet_grabmyo,0,0.0
encoder_seed_2026,2033,False,harmonic,physionet_hyser,0,0.0
encoder_seed_2026,2033,False,ninapro_db10_meganepro,emg2pose,0,0.0
encoder_seed_2026,2033,False,ninapro_db10_meganepro,emg2qwerty,0,0.0
encoder_seed_2026,2033,False,ninapro_db10_meganepro,harmonic,0,0.0
encoder_seed_2026,2033,False,ninapro_db10_meganepro,ninapro_db10_meganepro,1253,1.0
