run_label,seed,shuffled_label_control,dataset,true_support,predicted_support,recall
encoder_seed_2028,2029,True,ninapro_db10_meganepro,1272,1002,0.0911949685534591
encoder_seed_2028,2029,True,physionet_grabmyo,1280,944,0.1453125
encoder_seed_2028,2029,True,physionet_hyser,1253,1206,0.2442138866719872
encoder_seed_2028,2030,True,emg2pose,1270,1212,0.1866141732283464
encoder_seed_2028,2030,True,emg2qwerty,1157,1076,0.0924805531547104
encoder_seed_2028,2030,True,harmonic,1295,1286,0.2772200772200772
encoder_seed_2028,2030,True,ninapro_db10_meganepro,1230,895,0.0674796747967479
encoder_seed_2028,2030,True,physionet_grabmyo,1274,1211,0.3061224489795918
encoder_seed_2028,2030,True,physionet_hyser,1202,1748,0.1522462562396006
encoder_seed_2028,2031,True,emg2pose,1291,824,0.1843532145623547
encoder_seed_2028,2031,True,emg2qwerty,915,1145,0.1912568306010929
encoder_seed_2028,2031,True,harmonic,1290,947,0.0062015503875968
encoder_seed_2028,2031,True,ninapro_db10_meganepro,1235,982,0.2105263157894736
encoder_seed_2028,2031,True,physionet_grabmyo,1272,1874,0.1383647798742138
encoder_seed_2028,2031,True,physionet_hyser,1233,1464,0.1476074614760746
encoder_seed_2028,2032,True,emg2pose,1315,1174,0.1688212927756654
encoder_seed_2028,2032,True,emg2qwerty,1124,1309,0.2313167259786477
encoder_seed_2028,2032,True,harmonic,1131,1750,0.8470380194518126
encoder_seed_2028,2032,True,ninapro_db10_meganepro,1242,1103,0.2238325281803542
encoder_seed_2028,2032,True,physionet_grabmyo,1230,1061,0.2227642276422764
encoder_seed_2028,2032,True,physionet_hyser,1241,886,0.1651893634165995
encoder_seed_2028,2033,True,emg2pose,1324,1123,0.1805135951661631
encoder_seed_2028,2033,True,emg2qwerty,1124,1882,0.1548042704626334
encoder_seed_2028,2033,True,harmonic,1450,1134,0.0
encoder_seed_2028,2033,True,ninapro_db10_meganepro,1253,1236,0.1843575418994413
encoder_seed_2028,2033,True,physionet_grabmyo,1284,1347,0.1713395638629283
encoder_seed_2028,2033,True,physionet_hyser,1279,992,0.2400312744331509
encoder_seed_2028,2034,True,emg2pose,1382,1716,0.1410998552821997
encoder_seed_2028,2034,True,emg2qwerty,827,1145,0.2599758162031439
encoder_seed_2028,2034,True,harmonic,1268,1415,0.2003154574132492
encoder_seed_2028,2034,True,ninapro_db10_meganepro,1251,873,0.0719424460431654
encoder_seed_2028,2034,True,physionet_grabmyo,1266,1167,0.2251184834123222
encoder_seed_2028,2034,True,physionet_hyser,1241,919,0.0765511684125705
encoder_seed_2028,2035,True,emg2pose,1368,1721,0.1564327485380117
encoder_seed_2028,2035,True,emg2qwerty,872,1226,0.1571100917431192
encoder_seed_2028,2035,True,harmonic,1466,1226,0.3328785811732606
encoder_seed_2028,2035,True,ninapro_db10_meganepro,1244,1067,0.1262057877813504
encoder_seed_2028,2035,True,physionet_grabmyo,1298,1350,0.3798151001540832
encoder_seed_2028,2035,True,physionet_hyser,1291,949,0.1549186676994577
encoder_seed_2029,2026,False,emg2pose,1343,1122,0.7125837676842889
encoder_seed_2029,2026,False,emg2qwerty,944,1138,0.823093220338983
encoder_seed_2029,2026,False,harmonic,969,972,1.0
encoder_seed_2029,2026,False,ninapro_db10_meganepro,1255,1253,0.998406374501992
encoder_seed_2029,2026,False,physionet_grabmyo,1255,1256,0.998406374501992
encoder_seed_2029,2026,False,physionet_hyser,1255,1280,1.0
encoder_seed_2029,2027,False,emg2pose,1358,1309,0.7702503681885126
encoder_seed_2029,2027,False,emg2qwerty,902,941,0.70509977827051
encoder_seed_2029,2027,False,harmonic,1486,1491,1.0
encoder_seed_2029,2027,False,ninapro_db10_meganepro,1252,1253,1.0
encoder_seed_2029,2027,False,physionet_grabmyo,1259,1259,1.0
encoder_seed_2029,2027,False,physionet_hyser,1254,1258,1.0
encoder_seed_2029,2028,False,emg2pose,1353,1186,0.754619364375462
encoder_seed_2029,2028,False,emg2qwerty,901,1056,0.8079911209766926
encoder_seed_2029,2028,False,harmonic,1486,1487,1.0
encoder_seed_2029,2028,False,ninapro_db10_meganepro,1265,1267,1.0
encoder_seed_2029,2028,False,physionet_grabmyo,1291,1297,1.0
encoder_seed_2029,2028,False,physionet_hyser,1224,1227,1.0
encoder_seed_2029,2029,False,emg2pose,1329,1252,0.8419864559819413
