dataset,protocol,subject_id,unit,seed,model,metric,aulc
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2034,raw_stats_plus_signal,balanced_acc,0.4307130010389129
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2035,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.42365762532427886
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2035,raw_stats_plus_signal,balanced_acc,0.38729641357147393
physionet_grabmyo,heldout_subject_fewshot,S09,physionet_grabmyo::heldout_subject::S09,2026,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.5169797671363154
physionet_grabmyo,heldout_subject_fewshot,S09,physionet_grabmyo::heldout_subject::S09,2026,raw_stats_plus_signal,balanced_acc,0.47481557525554624
physionet_grabmyo,heldout_subject_fewshot,S09,physionet_grabmyo::heldout_subject::S09,2027,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.46313355278564533
physionet_grabmyo,heldout_subject_fewshot,S09,physionet_grabmyo::heldout_subject::S09,2027,raw_stats_plus_signal,balanced_acc,0.37598544536525197
physionet_grabmyo,heldout_subject_fewshot,S09,physionet_grabmyo::heldout_subject::S09,2028,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.5070025519652948
physionet_grabmyo,heldout_subject_fewshot,S09,physionet_grabmyo::heldout_subject::S09,2028,raw_stats_plus_signal,balanced_acc,0.45381082311985355
physionet_grabmyo,heldout_subject_fewshot,S09,physionet_grabmyo::heldout_subject::S09,2029,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.5247399743186683
physionet_grabmyo,heldout_subject_fewshot,S09,physionet_grabmyo::heldout_subject::S09,2029,raw_stats_plus_signal,balanced_acc,0.45360759840970133
physionet_grabmyo,heldout_subject_fewshot,S09,physionet_grabmyo::heldout_subject::S09,2030,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.5237020596837075
physionet_grabmyo,heldout_subject_fewshot,S09,physionet_grabmyo::heldout_subject::S09,2030,raw_stats_plus_signal,balanced_acc,0.4329621429862483
physionet_grabmyo,heldout_subject_fewshot,S09,physionet_grabmyo::heldout_subject::S09,2031,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.498519931849492
physionet_grabmyo,heldout_subject_fewshot,S09,physionet_grabmyo::heldout_subject::S09,2031,raw_stats_plus_signal,balanced_acc,0.47281854458700534
physionet_grabmyo,heldout_subject_fewshot,S09,physionet_grabmyo::heldout_subject::S09,2032,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.48634537385755267
