dataset,subject_id,source_session,target_session,unit,seed,model,metric,aulc
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2031,frequency_logbandpower,balanced_acc,0.3909339747841485
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2031,pretrained_encoder,balanced_acc,0.17156705840473904
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2031,raw_stats,balanced_acc,0.4194587602151076
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2031,raw_stats_plus_frequency,balanced_acc,0.32170569072434063
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2031,raw_stats_plus_pretrained,balanced_acc,0.29081551784325954
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2032,frequency_logbandpower,balanced_acc,0.37165235404772623
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2032,pretrained_encoder,balanced_acc,0.18039351006041013
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2032,raw_stats,balanced_acc,0.4283437734055227
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2032,raw_stats_plus_frequency,balanced_acc,0.3116026704522715
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2032,raw_stats_plus_pretrained,balanced_acc,0.2820290498263608
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2033,frequency_logbandpower,balanced_acc,0.39527229706270217
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2033,pretrained_encoder,balanced_acc,0.16940481455955408
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2033,raw_stats,balanced_acc,0.4228840151852266
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2033,raw_stats_plus_frequency,balanced_acc,0.32612965964487456
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2033,raw_stats_plus_pretrained,balanced_acc,0.2625453893597201
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2034,frequency_logbandpower,balanced_acc,0.38143785602748953
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2034,pretrained_encoder,balanced_acc,0.17674400544403487
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2034,raw_stats,balanced_acc,0.4257832750954912
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2034,raw_stats_plus_frequency,balanced_acc,0.318765021754097
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2034,raw_stats_plus_pretrained,balanced_acc,0.27590313372862063
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2035,frequency_logbandpower,balanced_acc,0.3837519637892639
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2035,pretrained_encoder,balanced_acc,0.1827244065911797
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2035,raw_stats,balanced_acc,0.4320630438157304
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2035,raw_stats_plus_frequency,balanced_acc,0.3251947007952929
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2035,raw_stats_plus_pretrained,balanced_acc,0.27657101663996947
physionet_grabmyo,S03,session1,session2,physionet_grabmyo::S03::session1->session2,2026,frequency_logbandpower,balanced_acc,0.4857714945677219
physionet_grabmyo,S03,session1,session2,physionet_grabmyo::S03::session1->session2,2026,pretrained_encoder,balanced_acc,0.2625958462770002
physionet_grabmyo,S03,session1,session2,physionet_grabmyo::S03::session1->session2,2026,raw_stats,balanced_acc,0.44040140975568626
physionet_grabmyo,S03,session1,session2,physionet_grabmyo::S03::session1->session2,2026,raw_stats_plus_frequency,balanced_acc,0.4076450387620171
physionet_grabmyo,S03,session1,session2,physionet_grabmyo::S03::session1->session2,2026,raw_stats_plus_pretrained,balanced_acc,0.32943163113350266
