seed,n_classes,n_train,n_test,uniform_reference,majority_reference,accuracy,balanced_accuracy,macro_f1,permutation_corrected_accuracy,mean_prediction_entropy,normalized_prediction_entropy,ece,shuffled_label_control,source,feature_set,mutual_information,normalized_mutual_information
2035,2,41881,18119,0.5,0.5023456040620343,0.9882995750317346,0.9883044958633886,0.9882994244523604,0.9882995750317346,0.0351479158477305,0.0507077238911035,0.0018697035503804,False,two_domain_confirmatory_features,scratch_embedding,0.6295150286705294,0.9082074394441716
2035,2,41881,18119,0.5,0.5023456040620343,0.4905899884099564,0.4906284893592066,0.4905722227343762,0.5094100115900436,0.6886649921217168,0.993533568967838,0.0470064504227835,True,two_domain_confirmatory_features,scratch_embedding,0.00017570436518318886,0.0002535147292839868
2026,3,15985,6929,0.3333333333333333,0.3354019339009958,0.9987011112714678,0.9987012987012988,0.9986984353316356,0.9987011112714678,0.0056365342875413,0.0051305946107472,0.0010895571501861,False,three_domain_calibration_bank,pretrained_embedding,1.0894094541653094,0.9916347939382074
2026,3,15985,6929,0.3333333333333333,0.3354019339009958,0.3368451435993649,0.3367194892236234,0.3362710571113231,0.3573387213162072,1.080162113373475,0.9832059267086818,0.0635834701996009,True,three_domain_calibration_bank,pretrained_embedding,0.0014387641791258703,0.0013101726674357465
2027,3,15967,6947,0.3333333333333333,0.3407226140780193,0.9972650064776164,0.9973042200304164,0.9972862026804262,0.9972650064776164,0.0061955010542803,0.0056393880882138,0.0006697673423139,False,three_domain_calibration_bank,pretrained_embedding,1.0803312960608735,0.9834824719795708
2027,3,15967,6947,0.3333333333333333,0.3407226140780193,0.2930761479775443,0.2925198622791534,0.2921554162993655,0.3721030660716856,1.0774680233783562,0.980753660315062,0.1132045800917919,True,three_domain_calibration_bank,pretrained_embedding,0.007089281224534298,0.006456230286653999
2028,3,16001,6913,0.3333333333333333,0.336322869955157,0.9986981050195284,0.9986877381147178,0.9986928314500244,0.9986981050195284,0.0051123529194306,0.0046534641676259,0.000540691450514,False,three_domain_calibration_bank,pretrained_embedding,1.088656589284835,0.9909913266742193
2028,3,16001,6913,0.3333333333333333,0.336322869955157,0.2784608708230869,0.2784620604994243,0.2778446589623601,0.3797193693042094,1.0802568739798588,0.9832921815297516,0.1218944068412469,True,three_domain_calibration_bank,pretrained_embedding,0.008128462955313758,0.0074145125243854455
2029,3,16015,6899,0.3333333333333333,0.3358457747499637,0.9962313378750544,0.9962539210472316,0.9962446825537332,0.9962313378750544,0.0053849384340138,0.0049015821956098,0.0017248090810234,False,three_domain_calibration_bank,pretrained_embedding,1.0744024916814983,0.9779871928184676
2029,3,16015,6899,0.3333333333333333,0.3358457747499637,0.3875924046963328,0.3878413700711591,0.3873736606877816,0.3875924046963328,1.0807283389801228,0.9837213274669734,0.0374531850197887,True,three_domain_calibration_bank,pretrained_embedding,0.009761814987580055,0.008888347534219498
2030,3,16110,6804,0.3333333333333333,0.3381834215167548,0.9986772486772488,0.998684706620502,0.9986848683698856,0.9986772486772488,0.0043629156699664,0.0039712969852683,0.0010538196488457,False,three_domain_calibration_bank,pretrained_embedding,1.0886645636440861,0.9910038890023466
2030,3,16110,6804,0.3333333333333333,0.3381834215167548,0.3209876543209876,0.3205596996519029,0.3209016605093046,0.4062316284538507,1.0814781767314092,0.9844038592018,0.0771060707798672,True,three_domain_calibration_bank,pretrained_embedding,0.015382943978271734,0.014014159452229155
2031,3,15965,6949,0.3333333333333333,0.3363073823571736,0.9860411570010074,0.9860096447429144,0.9860878526937112,0.9860411570010074,0.0067766652584398,0.0061683865439512,0.0121262333279271,False,three_domain_calibration_bank,pretrained_embedding,1.0361696964456542,0.9434706374425758
2031,3,15965,6949,0.3333333333333333,0.3363073823571736,0.2856526118866024,0.2857461181960258,0.2861603254504907,0.3850913800546841,1.0792616388659035,0.982386279489313,0.1166046337885088,True,three_domain_calibration_bank,pretrained_embedding,0.017308057089174163,0.015771994133659116
2032,3,16025,6889,0.3333333333333333,0.3344462186093773,0.9981129336623604,0.9981152449249424,0.9981148890535632,0.9981129336623604,0.0061923328406393,0.0056365042558795,0.0010563071882218,False,three_domain_calibration_bank,pretrained_embedding,1.0850998140600434,0.9877046953559208
2032,3,16025,6889,0.3333333333333333,0.3344462186093773,0.3582522862534475,0.3583124484776096,0.3585847892644783,0.3832196254899114,1.0815337026242202,0.98445440104753,0.0389546135013216,True,three_domain_calibration_bank,pretrained_embedding,0.018821085530895156,0.01715782164796858
2033,3,15988,6926,0.3333333333333333,0.335980363846376,0.9994224660698816,0.999424907804796,0.9994242149179776,0.9994224660698816,0.002904577287881,0.0026438601841986,0.0010473256887682,False,three_domain_calibration_bank,pretrained_embedding,1.0937386314453084,0.9955837782942584
2033,3,15988,6926,0.3333333333333333,0.335980363846376,0.3603811723938781,0.3604330930659667,0.3611605658485772,0.3778515737799596,1.08406164289526,0.9867554314448,0.032092668344027,True,three_domain_calibration_bank,pretrained_embedding,0.011201466228803737,0.010205468061160987
2034,3,16094,6820,0.3333333333333333,0.3343108504398827,0.989149560117302,0.9891583862093956,0.989178375879038,0.989149560117302,0.0050407739966661,0.004588310224326,0.0093415100855556,False,three_domain_calibration_bank,pretrained_embedding,1.0455643629884266,0.9518495984738837
2034,3,16094,6820,0.3333333333333333,0.3343108504398827,0.3341642228739003,0.3341025107590652,0.3342017615049346,0.3658357771260997,1.0812408709279826,0.9841878541508148,0.06425196651176,True,three_domain_calibration_bank,pretrained_embedding,0.002835820656900685,0.0025833465758038077
2035,3,15957,6957,0.3333333333333333,0.3367830961621388,0.9962627569354608,0.9962789530050796,0.9962713195501478,0.9962627569354608,0.0079578743676732,0.0072435694100244,0.0011963734127743,False,three_domain_calibration_bank,pretrained_embedding,1.074063626267921,0.9776820849597403
2035,3,15957,6957,0.3333333333333333,0.3367830961621388,0.3035791289348857,0.3035230499235389,0.3041279817287469,0.3605002156101768,1.0814291958003273,0.9843592748369724,0.0941945545875964,True,three_domain_calibration_bank,pretrained_embedding,0.008171139785165623,0.007442020327132925
